code,glyphs
unigram_alpha_a,ol
unigram_alpha_b,qokchdy
unigram_alpha_c,chey
unigram_alpha_d,cheey
unigram_alpha_e,chedy
unigram_alpha_f,qokchey
unigram_alpha_g,qokchy
unigram_alpha_h,qokchedy
unigram_alpha_i,shedy
unigram_alpha_l,qokal
unigram_alpha_m,qokar
unigram_alpha_n,daiin
unigram_alpha_o,aiin
unigram_alpha_p,qoky
unigram_alpha_q,qokol
unigram_alpha_r,qokeedy
unigram_alpha_s,qokeey
unigram_alpha_t,qokaiin
unigram_alpha_u,qokain
unigram_alpha_v,qokey
unigram_alpha_x,qokor
unigram_alpha_y,qokdy
unigram_alpha_z,qokeeedy
unigram_beta1_a,or
unigram_beta1_b,okchdy
unigram_beta1_c,okedy
unigram_beta1_d,cheedy
unigram_beta1_e,ar
unigram_beta1_f,okchey
unigram_beta1_g,okchy
unigram_beta1_h,okchedy
unigram_beta1_i,qokedy
unigram_beta1_l,okal
unigram_beta1_m,okar
unigram_beta1_n,dal
unigram_beta1_o,al
unigram_beta1_p,oky
unigram_beta1_q,okol
unigram_beta1_r,okeedy
unigram_beta1_s,okeey
unigram_beta1_t,okaiin
unigram_beta1_u,okain
unigram_beta1_v,okey
unigram_beta1_x,okor
unigram_beta1_y,okdy
unigram_beta1_z,okeeedy
unigram_beta2_a,qol
unigram_beta2_b,otchdy
unigram_beta2_c,lkaiin
unigram_beta2_d,lkain
unigram_beta2_e,dar
unigram_beta2_f,otchey
unigram_beta2_g,otchy
unigram_beta2_h,otchedy
unigram_beta2_i,shey
unigram_beta2_l,otal
unigram_beta2_m,otar
unigram_beta2_n,dain
unigram_beta2_o,ain
unigram_beta2_p,oty
unigram_beta2_q,otol
unigram_beta2_r,oteedy
unigram_beta2_s,oteey
unigram_beta2_t,otaiin
unigram_beta2_u,otain
unigram_beta2_v,otey
unigram_beta2_x,otor
unigram_beta2_y,otdy
unigram_beta2_z,oteeedy
unigram_beta3_a,chdy
unigram_beta3_b,sheckhy
unigram_beta3_c,shckhy
unigram_beta3_d,chor
unigram_beta3_e,dar
unigram_beta3_f,shal
unigram_beta3_g,shar
unigram_beta3_h,shy
unigram_beta3_i,otedy
unigram_beta3_l,saiin
unigram_beta3_m,sain
unigram_beta3_n,dy
unigram_beta3_o,y
unigram_beta3_p,sheody
unigram_beta3_q,shody
unigram_beta3_r,sheol
unigram_beta3_s,shol
